FB,Microsoft,Tesla
179.039993,85.230003,65.781998
176.960007,85.580002,68.206001
178.300003,85.349998,67.806
178.389999,84.690002,67.578003
180.179993,86.849998,68.690002
180.820007,86.379997,67.774002
179.509995,85.830002,66.220001
177.889999,85.519997,65.795998
177.449997,85.5,66.332001
177.199997,85.510002,65.040001
175.990005,85.400002,63.458
177.619995,85.709999,62.327999
177.919998,85.720001,63.071999
176.460007,85.540001,62.27
181.419998,85.949997,64.106003
184.669998,86.349998,63.450001
184.330002,87.110001,62.924
186.850006,88.190002,63.316002
188.279999,88.279999,67.281998
187.869995,88.220001,66.737999
187.839996,87.82,66.959999
187.770004,88.080002,67.589996
179.369995,89.599998,67.244003
178.389999,88.349998,68.012001
177.600006,90.139999,69.431999
179.800003,90.099998,68.914001
181.289993,90,70.003998
185.369995,91.610001,70.311996
189.350006,91.900002,70.557999
186.550003,91.82,69.178001
187.479996,92.330002,67.528
190,94.059998,68.57
185.979996,93.919998,69.905998
187.119995,92.739998,69.164001
186.889999,95.010002,70.862
193.089996,94.260002,69.849998
190.279999,91.779999,68.75
181.259995,88,66.625999
185.309998,91.330002,66.793999
180.179993,89.610001,69
171.580002,85.010002,63.046001
176.110001,88.18,62.084
176.410004,89.129997,63.146
173.149994,89.830002,64.732002
179.520004,90.809998,64.461998
179.960007,92.660004,66.814003
177.360001,92,67.098
176.009995,92.720001,66.954002
177.910004,91.489998,66.660004
178.990005,91.730003,69.234001
183.289993,94.059998,70.410004
184.929993,95.419998,71.484001
181.460007,94.199997,70.197998
178.320007,93.769997,68.612
175.940002,92.849998,66.185997
176.619995,93.050003,67.024002
180.399994,93.639999,66.669998
179.779999,93.32,65.639999
183.710007,93.860001,66.459999
182.339996,94.43,65.82
185.229996,96.540001,65.433998
184.759995,96.769997,69.101997
181.880005,94.410004,68.367996
184.190002,93.849998,65.325996
183.860001,94.18,65.120003
185.089996,94.599998,64.269997
172.559998,92.889999,62.712002
168.149994,93.129997,62.110001
169.389999,92.480003,63.306
164.889999,89.790001,61.82
159.389999,87.18,60.307999
160.059998,93.779999,60.835999
152.220001,89.470001,55.835999
153.029999,89.389999,51.556
159.789993,91.269997,53.226002
155.389999,88.519997,50.495998
156.110001,89.709999,53.506001
155.100006,92.330002,57.388
159.339996,92.379997,61.144001
